start_date,day_of_week,day_of_week_num,is_weekend,rides,avg_duration_min,median_duration_min
2024-07-01,Monday,0,False,151980,14.036613415252006,9.658075
2024-07-02,Tuesday,1,False,162119,13.717126440454233,9.576316666666663
2024-07-03,Wednesday,2,False,155842,13.906019407369858,9.606475
2024-07-04,Thursday,3,False,117922,17.934756570727544,11.164383333333333
2024-07-05,Friday,4,False,111116,14.773023034936463,9.67355
2024-07-06,Saturday,5,True,119991,16.292085932139354,10.640116666666668
2024-07-07,Sunday,6,True,123445,15.73382424156507,10.235116666666666
2024-07-08,Monday,0,False,147128,13.200688976265564,9.113716666666669
2024-07-09,Tuesday,1,False,161249,13.370691051934173,9.194766666666668
2024-07-10,Wednesday,2,False,166914,13.216492331480085,9.252366666666667
2024-07-11,Thursday,3,False,167371,13.44674782937307,9.370766666666666
2024-07-12,Friday,4,False,145395,13.349759199766154,9.240016666666666
2024-07-13,Saturday,5,True,139054,15.870301403531482,10.67816666666667
2024-07-14,Sunday,6,True,144116,15.297752869100815,10.406908333333332
2024-07-15,Monday,0,False,146777,12.971057319947947,8.915583333333332
2024-07-16,Tuesday,1,False,158981,12.74175228318688,8.91615
2024-07-17,Wednesday,2,False,151368,12.843609154290647,8.917941666666668
2024-07-18,Thursday,3,False,168410,13.413614399877284,9.39555
2024-07-19,Friday,4,False,169551,14.282231829459375,9.8343
2024-07-20,Saturday,5,True,160267,15.931483054007792,11.046933333333332
2024-07-21,Sunday,6,True,148678,15.820625541662743,10.740333333333334
2024-07-22,Monday,0,False,146767,12.862686806639093,8.941133333333333
2024-07-23,Tuesday,1,False,147056,12.946757506664127,9.070866666666666
2024-07-24,Wednesday,2,False,164906,12.887531070630137,9.160408333333333
2024-07-25,Thursday,3,False,169845,13.694823020793468,9.4396
2024-07-26,Friday,4,False,170957,14.322580409011232,9.8608
2024-07-27,Saturday,5,True,167535,16.395389932750373,11.258133333333337
2024-07-28,Sunday,6,True,151395,16.074553336525863,10.763233333333334
2024-07-29,Monday,0,False,150011,13.213048454557777,9.072433333333333
2024-07-30,Tuesday,1,False,169077,13.239054335894297,9.2768
2024-07-31,Wednesday,2,False,165718,12.537077242564678,9.078941666666667
