time_period,member_casual,rides,avg_duration_min
daytime,casual,365178,22.753997074577327
daytime,member,1098553,11.629602987657401
evening_peak,casual,358271,22.326424368797177
evening_peak,member,1193563,12.380660775370327
late_night,casual,67729,19.657804141751196
late_night,member,150080,12.495210788690475
morning_peak,casual,103575,15.713049446777697
morning_peak,member,637143,10.83123570391576
night,casual,194836,20.92283909433233
night,member,552013,12.757113413120102
