station_name,start_rides,station_lat,station_lng,end_rides,total_activity,net_inflow,abs_net_inflow,imbalance_ratio,imbalance_type
16 St & 4 Ave,404,40.666197,-73.992466,402,806,-2,2,-0.0024813895781637,net_outflow_shortage
17 St & 5 Ave,624,40.663493,-73.991007,697,1321,73,73,0.0552611657834973,net_inflow_accumulation
18 St & 27 Ave,397,40.772768286288304,-73.92743647098541,531,928,134,134,0.1443965517241379,net_inflow_accumulation
19 St & 24 Ave,408,40.7774552,-73.9225403,417,825,9,9,0.0109090909090909,net_inflow_accumulation
19 St & 8 Ave,107,40.658489,-73.985543,98,205,-9,9,-0.0439024390243902,net_outflow_shortage
2 Ave & 32 St,64,40.659176,-74.006584,29,93,-35,35,-0.3763440860215054,net_outflow_shortage
2 Ave & 36 St,285,40.65708866668485,-74.00870203971863,100,385,-185,185,-0.4805194805194805,net_outflow_shortage
2 Ave & 37 St,235,40.65624,-74.00933,96,331,-139,139,-0.4199395770392749,net_outflow_shortage
2 Ave & E 122 St,345,40.8006721,-73.9349,338,683,-7,7,-0.0102489019033674,net_outflow_shortage
2 Ave & E 125 St,519,40.802554,-73.933509,451,970,-68,68,-0.0701030927835051,net_outflow_shortage
2 Ave & E 29 St,3040,40.74172351097472,-73.97809267044067,3044,6084,4,4,0.0006574621959237,net_inflow_accumulation
2 Ave & E 31 St,1870,40.74299,-73.97711,1890,3760,20,20,0.0053191489361702,net_inflow_accumulation
2 Ave & E 72 St,2243,40.7687620293096,-73.95840793848038,2390,4633,147,147,0.03172890135981,net_inflow_accumulation
2 Ave & E 96 St,1173,40.7839636,-73.9471673,1259,2432,86,86,0.0353618421052631,net_inflow_accumulation
2 Ave & E 99 St,441,40.7862586,-73.94552579,459,900,18,18,0.02,net_inflow_accumulation
20 Ave & 31 St,128,40.78001336610564,-73.90667617321014,60,188,-68,68,-0.3617021276595745,net_outflow_shortage
20 Ave & 38 St,325,40.777112,-73.902382,295,620,-30,30,-0.0483870967741935,net_outflow_shortage
20 Ave & 42 St,108,40.775415,-73.900063,104,212,-4,4,-0.0188679245283018,net_outflow_shortage
20 Ave & 48 St,77,40.772899,-73.896849,86,163,9,9,0.0552147239263803,net_inflow_accumulation
20 Ave & Shore Blvd,44,40.785994,-73.915098,73,117,29,29,0.2478632478632478,net_inflow_accumulation
21 Ave & 80 St,82,40.770888,-73.889914,95,177,13,13,0.0734463276836158,net_inflow_accumulation
21 Ave & Crescent St,405,40.780478,-73.912212,567,972,162,162,0.1666666666666666,net_inflow_accumulation
21 Ave & Shore Blvd,209,40.783956,-73.916894,284,493,75,75,0.152129817444219,net_inflow_accumulation
21 St & 21 Ave,297,40.782465,-73.914527,436,733,139,139,0.189631650750341,net_inflow_accumulation
21 St & 23 Ave,210,40.778557,-73.919046,251,461,41,41,0.088937093275488,net_inflow_accumulation
21 St & 31 Dr,442,40.7659,-73.930819,474,916,32,32,0.0349344978165938,net_inflow_accumulation
21 St & 36 Ave,192,40.7601853,-73.9362726,219,411,27,27,0.0656934306569343,net_inflow_accumulation
21 St & 38 Ave,111,40.7576314,-73.9391224,112,223,1,1,0.0044843049327354,net_inflow_accumulation
21 St & 4 Ave,442,40.662584,-73.995554,526,968,84,84,0.0867768595041322,net_inflow_accumulation
21 St & 43 Ave,526,40.75052534,-73.94594845,283,809,-243,243,-0.3003708281829419,net_outflow_shortage
21 St & Hoyt Ave S,769,40.774645,-73.923706,951,1720,182,182,0.1058139534883721,net_inflow_accumulation
21 St & Queens Plaza North,635,40.75325964,-73.94335788,545,1180,-90,90,-0.0762711864406779,net_outflow_shortage
23 Ave & 27 St,258,40.776165,-73.9153175,302,560,44,44,0.0785714285714285,net_inflow_accumulation
23 Ave & 31 St,637,40.77423301703027,-73.91274864321404,491,1128,-146,146,-0.1294326241134751,net_outflow_shortage
23 Ave & 83 St,51,40.76646,-73.88674,34,85,-17,17,-0.2,net_outflow_shortage
23 Rd & 31 St,136,40.77336750284339,-73.91382560133934,115,251,-21,21,-0.0836653386454183,net_outflow_shortage
23 St & 3 Ave,83,40.662611,-73.998623,97,180,14,14,0.0777777777777777,net_inflow_accumulation
23 St & 31 Ave,327,40.76663971723091,-73.9286595582962,379,706,52,52,0.0736543909348441,net_inflow_accumulation
24 Ave & 26 St,277,40.774591,-73.918544,351,628,74,74,0.1178343949044586,net_inflow_accumulation
24 Ave & 29 St,349,40.7729,-73.916142,424,773,75,75,0.0970245795601552,net_inflow_accumulation
24 Ave & 87 St,34,40.7654,-73.88256,15,49,-19,19,-0.3877551020408163,net_outflow_shortage
24 Ave & 92 St,48,40.76589,-73.87789,44,92,-4,4,-0.0434782608695652,net_outflow_shortage
24 St & 38 Ave,306,40.756351,-73.936515,238,544,-68,68,-0.125,net_outflow_shortage
24 St & 41 Ave,345,40.752474,-73.939991,281,626,-64,64,-0.1022364217252396,net_outflow_shortage
24 St & 5 Ave,285,40.659555,-73.995068,318,603,33,33,0.0547263681592039,net_inflow_accumulation
25 Ave & 41 St,520,40.767666,-73.910963,574,1094,54,54,0.0493601462522851,net_inflow_accumulation
25 Ave & 85 St,87,40.76328,-73.88404,112,199,25,25,0.1256281407035175,net_inflow_accumulation
25 Ave & 96 St,51,40.76447,-73.87369,54,105,3,3,0.0285714285714285,net_inflow_accumulation
26 Ave & 2 St,237,40.77684387,-73.93463418,326,563,89,89,0.1580817051509769,net_inflow_accumulation
27 Ave & 3 St,161,40.77485,-73.9342,206,367,45,45,0.1226158038147139,net_inflow_accumulation
27 Ave & 9 St,171,40.7739825,-73.9309134,295,466,124,124,0.2660944206008583,net_inflow_accumulation
27 St & Hunter St,1211,40.7485,-73.941275,1074,2285,-137,137,-0.0599562363238512,net_outflow_shortage
28 Ave & 35 St,441,40.7671,-73.9169858,497,938,56,56,0.0597014925373134,net_inflow_accumulation
28 Ave & 44 St,312,40.76408932350688,-73.91065120697021,378,690,66,66,0.0956521739130434,net_inflow_accumulation
28 St & 36 Ave,344,40.757186,-73.932719,370,714,26,26,0.0364145658263305,net_inflow_accumulation
29 St & 40 Ave,95,40.75217,-73.93588,88,183,-7,7,-0.0382513661202185,net_outflow_shortage
29 St & 5 Ave,122,40.656986,-73.998194,108,230,-14,14,-0.0608695652173913,net_outflow_shortage
29 St & Skillman Ave,111,40.744831,-73.938411,64,175,-47,47,-0.2685714285714285,net_outflow_shortage
3 Ave & 14 St,307,40.6685455,-73.99333264,312,619,5,5,0.0080775444264943,net_inflow_accumulation
3 Ave & 17 St,59,40.666168,-73.995549,56,115,-3,3,-0.0260869565217391,net_outflow_shortage
3 Ave & Carroll St,474,40.677027,-73.9865,461,935,-13,13,-0.013903743315508,net_outflow_shortage
3 Ave & E 100 St,418,40.7877214,-73.94728331,454,872,36,36,0.0412844036697247,net_inflow_accumulation
3 Ave & E 109 St,408,40.79338,-73.94329,415,823,7,7,0.008505467800729,net_inflow_accumulation
3 Ave & E 112 St,317,40.795508,-73.941606,422,739,105,105,0.142083897158322,net_inflow_accumulation
3 Ave & E 163 St,169,40.823872,-73.908699,189,358,20,20,0.0558659217877094,net_inflow_accumulation
3 Ave & E 169 St,257,40.832678,-73.905158,282,539,25,25,0.046382189239332,net_inflow_accumulation
3 Ave & E 170 St,177,40.834857,-73.903743,164,341,-13,13,-0.0381231671554252,net_outflow_shortage
3 Ave & E 172 St,106,40.839586,-73.900277,113,219,7,7,0.0319634703196347,net_inflow_accumulation
3 Ave & E 174 St,100,40.84224,-73.8985,65,165,-35,35,-0.2121212121212121,net_outflow_shortage
3 Ave & E 189 St,249,40.85985,-73.89135,197,446,-52,52,-0.116591928251121,net_outflow_shortage
3 Ave & E 62 St,1715,40.76313,-73.96527,1316,3031,-399,399,-0.1316397228637413,net_outflow_shortage
3 Ave & E 71 St,1124,40.76879,-73.9614,1038,2162,-86,86,-0.0397779833487511,net_outflow_shortage
3 Ave & E 72 St,887,40.7699426,-73.96060712,991,1878,104,104,0.0553780617678381,net_inflow_accumulation
3 Ave & E 81 St,689,40.775744,-73.9563752,842,1531,153,153,0.0999346832135859,net_inflow_accumulation
3 Ave & E 82 St,778,40.775744,-73.9563752,1056,1834,278,278,0.1515812431842966,net_inflow_accumulation
3 Ave & E Tremont Ave,123,40.84649,-73.89616,91,214,-32,32,-0.1495327102803738,net_outflow_shortage
3 Ave & Franklin Ave,196,40.82696,-73.907451,178,374,-18,18,-0.0481283422459893,net_outflow_shortage
